BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
DAVE CALDWELL,"June 18, 2016 Saturday 00:00 EST",,"Daniel Suarez, a Mexican Driver, Sets New Course for Nascar",1040 words,The New York Times,SPORTS; autoracing,,AUTO RACING (93%); NASCAR RACING (91%); SPORTS & RECREATION EVENTS (90%); TOURNAMENTS (78%); SPORTS (78%); SPORTS & RECREATION (73%); INTERVIEWS (72%)
WILLIAM GRIMES,"June 18, 2016 Saturday 00:00 EST",,"Michelle Cliff, Who Wrote of Colonialism and Racism, Dies at 69",982 words,The New York Times,BOOKS,,DEATHS & OBITUARIES (92%); NOVELS & SHORT STORIES (90%); WRITERS (90%); RACISM & XENOPHOBIA (90%); FICTION LITERATURE (90%); RACE & ETHNICITY (90%); NON FICTION LITERATURE (90%); INVESTIGATIONS (89%); HISTORY (78%); PUBLISHING (78%); LITERATURE (78%); CREATIVE WRITING (78%); ETHNIC & CULTURAL STUDIES (78%); FAMILY (76%); PREGNANCY & CHILDBIRTH (72%); GAYS & LESBIANS (71%); SINGLE SEX EDUCATION (68%); POLITICAL SCIENCE (60%)
RICHARD SANDOMIR,"June 18, 2016 Saturday 00:00 EST",,"Mike Emrick, a Hockey Wordsmith, Prepares for a Transition to the Diamond; TV Sports",712 words,The New York Times,SPORTS; baseball,,BASEBALL (94%); SPORTS & RECREATION (92%); SPORTS & RECREATION EVENTS (90%); WINTER SPORTS (90%); SPORTS (90%); STADIUMS & ARENAS (89%); TELEVISION INDUSTRY (89%); PROFESSIONAL SPORTS (78%); YOUTH SPORTS (73%); COACHES & TRAINERS (73%); MOTOR VEHICLES (55%)
TYLER KEPNER,"June 18, 2016 Saturday 00:00 EST",,"David Wright, the Forever Met, Recedes Into the Background Again; On Baseball",1009 words,The New York Times,SPORTS; baseball,,NECK DISORDERS & INJURIES (90%); BASEBALL (90%); STADIUMS & ARENAS (89%); SPORTS INJURIES (76%); ATHLETES (75%); SURGERY & TRANSPLANTATION (73%); SPORTS MEDICINE (72%); SPORTS & RECREATION EVENTS (70%); SPORTS AWARDS (68%)
THE ASSOCIATED PRESS,"June 18, 2016 Saturday 00:00 EST",,France Deports 20 Russians for Fighting,277 words,The New York Times,SPORTS; soccer,,DEPORTATION (94%); SPORTS & RECREATION EVENTS (90%); SPORTS FANS (90%); SOCCER (90%); SOCCER TOURNAMENTS (90%); STADIUMS & ARENAS (78%); RIOTS (78%); CRIMINAL OFFENSES (73%); SENTENCING (64%); CRIMINAL CONVICTIONS (64%); HOTELS & MOTELS (50%)
REBECCA R. RUIZ,"June 18, 2016 Saturday 00:00 EST",,Olympic Officials Back Ban on Russian Track Team From Rio Games,576 words,The New York Times,SPORTS; olympics,,OLYMPICS (96%); OLYMPIC COMMITTEES (93%); SPORTS GOVERNING BODIES (93%); SUMMER OLYMPICS (92%); SPORTS & RECREATION EVENTS (90%); 2016 RIO SUMMER OLYMPICS (90%); SPORTS & RECREATION (90%); TRACK & FIELD (90%); SPORTS (90%); RUNNING (89%); DRUGS IN SPORTS (89%); SPORTS REGULATION & POLICY (78%); CONTROLLED SUBSTANCES CRIME (76%); CORRUPTION (76%); CONSPIRACY (76%); DRUG TESTING (76%); ASSOCIATIONS & ORGANIZATIONS (70%); WHISTLEBLOWERS (69%); INVESTIGATIONS (67%)
JAMES WAGNER,"June 18, 2016 Saturday 00:00 EST",,"Mets Are Hitting the Ball Far, but Not Often Enough",898 words,The New York Times,SPORTS; baseball,,BASEBALL (93%); ATHLETES (76%); MANAGERS & SUPERVISORS (69%); RUNNING (57%)
PAT BORZI,"June 18, 2016 Saturday 00:00 EST",,"Yankees Climb Back to .500 With Win Over Twins; Yankees 7, Twins 6",933 words,The New York Times,SPORTS; baseball,,BASEBALL (92%); STADIUMS & ARENAS (77%); COACHES & TRAINERS (60%)
THE ASSOCIATED PRESS,"June 18, 2016 Saturday 00:00 EST",,"Iceland's Shot at First Win Thwarted by an Own Goal; Iceland 1, Hungary 1",237 words,The New York Times,SPORTS; soccer,,SPORTS & RECREATION EVENTS (90%); SOCCER (90%); SOCCER TOURNAMENTS (78%); TOURNAMENTS (78%)
BILL PENNINGTON,"June 18, 2016 Saturday 00:00 EST",,Unseen Violation Prompts a Striking Act From Shane Lowry; On Golf,865 words,The New York Times,SPORTS; golf,,GOLF (90%); GOLF TOURNAMENTS (90%); SPORTS & RECREATION EVENTS (89%); ATHLETES (89%); SPORTS OFFICIATING (89%); TOURNAMENTS (89%); REFEREES & UMPIRES (89%); RANKINGS (75%); BASEBALL (71%); BASKETBALL (65%)
JOHN BRANCH,"June 18, 2016 Saturday 00:00 EST",,Karch Kiraly Now Setting Up U.S. Women's Volleyball Team to Succeed,2161 words,The New York Times,SPORTS; olympics,,VOLLEYBALL (94%); SPORTS & RECREATION EVENTS (90%); SPORTS AWARDS (90%); SPORTS GOVERNING BODIES (90%); OLYMPICS (90%); 2016 RIO SUMMER OLYMPICS (77%)
NICHOLAS KRISTOF,"June 18, 2016 Saturday 00:00 EST",,Why I Was Wrong About Welfare Reform; Op-Ed Columnist,876 words,The New York Times,OPINION; sunday,,POVERTY & HOMELESSNESS (92%); EDITORIALS & OPINIONS (92%); CHILDREN (90%); FAMILY (90%); INFANTS & TODDLERS (89%); FOOD STAMPS (89%); WRITERS (86%); US PRESIDENTS (78%); PREGNANCY & CHILDBIRTH (76%); STUDENTS & STUDENT LIFE (76%); CHILD POVERTY (76%); STUDENT SUBSTANCE ABUSE (75%); CONTROLLED SUBSTANCES CRIME (67%); SUBSTANCE ABUSE (67%); PRESCRIPTION DRUGS (67%); RELIGION (64%)
MAUREEN DOWD,"June 18, 2016 Saturday 00:00 EST",,Trump in the Dumps; Op-Ed Columnist,988 words,The New York Times,OPINION; sunday,,US PRESIDENTIAL CANDIDATES 2016 (92%); EDITORIALS & OPINIONS (92%); US PRESIDENTIAL CANDIDATES 2012 (91%); POLITICAL PARTIES (90%); US REPUBLICAN PARTY (89%); RACISM & XENOPHOBIA (89%); RACE & ETHNICITY (89%); VOTERS & VOTING (88%); CAMPAIGNS & ELECTIONS (78%); ETHNICITY (75%); MINORITY GROUPS (75%); ELECTIONS (73%); US PRESIDENTS (73%); ACTORS & ACTRESSES (73%); POLITICS (73%); HEADS OF GOVERNMENT ELECTIONS (73%); US PRESIDENTIAL ELECTIONS (71%); GAYS & LESBIANS (70%); MUSLIMS & ISLAM (69%); OBAMA HEALTH CARE REFORM (63%); IRAQ WAR (63%); FUNDRAISING (60%); PRESS CONFERENCES (60%)
FRANK BRUNI,"June 18, 2016 Saturday 00:00 EST",,The Republicans' Big Hot Mess; Op-Ed Columnist,1143 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (92%); POLITICAL PARTIES (91%); US PRESIDENTIAL CANDIDATES 2016 (91%); US PRESIDENTIAL CANDIDATES 2012 (91%); POLITICAL PARTY CONVENTIONS (90%); CONFERENCES & CONVENTIONS (89%); US REPUBLICAN NATIONAL CONVENTIONS (78%); CAMPAIGNS & ELECTIONS (78%); POLITICS (78%); ELECTIONS (77%); US PRESIDENTIAL ELECTIONS (77%); CONVENTION & TRADE SHOW PLANNING (73%); SPONSORSHIP (73%); SPECIAL EVENT PLANNING (73%); HEADS OF GOVERNMENT ELECTIONS (70%); WRITERS (69%); AMERICAN FOOTBALL (65%); SPORTS (65%); SEX OFFENSES (64%); CHARITIES (60%); CHARITABLE GIVING (60%)
THE EDITORIAL BOARD,"June 18, 2016 Saturday 00:00 EST",,Heading Off the Next Extremist; Editorial,647 words,The New York Times,OPINION; sunday,,RELIGION (93%); TERRORISM (92%); EDITORIALS & OPINIONS (92%); TERRORIST ORGANIZATIONS (91%); ISLAMIC STATE IN IRAQ & THE LEVANT (91%); MUSLIMS & ISLAM (90%); 2016 ORLANDO NIGHTCLUB SHOOTING (90%); ARRESTS (89%); LAW ENFORCEMENT (88%); TERRORIST ATTACKS (78%); MUSLIM AMERICANS (78%); AL-QAEDA (77%); AL-SHABAAB (77%); US FEDERAL GOVERNMENT (77%); FREEDOM OF PRESS (77%); VERDICTS (77%); ASSOCIATIONS & ORGANIZATIONS (77%); SOCIAL MEDIA (74%); FREEDOM OF SPEECH (73%); JUSTICE DEPARTMENTS (73%); CRIMINAL INVESTIGATIONS (72%); LITIGATION (72%); FEDERAL INVESTIGATIONS (72%); CRIMINAL CONVICTIONS (72%); SENTENCING (71%); LAW COURTS & TRIBUNALS (71%); NONPROFIT ORGANIZATIONS (69%); INVESTIGATIONS (67%); CIVIC & SOCIAL ORGANIZATIONS (60%); SOCCER (50%)
KEVIN BAKER,"June 18, 2016 Saturday 00:00 EST",,Donald Trump's Place; Opinion,1819 words,The New York Times,OPINION; campaign-stops,,US PRESIDENTIAL CANDIDATES 2016 (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); EDITORIALS & OPINIONS (90%); US REPUBLICAN PARTY (89%); POLITICAL PARTIES (89%); CAMPAIGNS & ELECTIONS (89%); US PRESIDENTIAL ELECTIONS (88%); HEADS OF GOVERNMENT ELECTIONS (88%); SHOOTINGS (78%); POLITICS (77%); US DEMOCRATIC PARTY (77%); PRIMARY ELECTIONS (74%); ELECTIONS (74%); US PRESIDENTS (74%); VOTERS & VOTING (74%); HISTORY (72%); FIREARMS (71%); EXECUTIVES (69%); GAYS & LESBIANS (65%); TERRORISM (60%); RELIGION (55%)
LIZ ROBBINS,"June 18, 2016 Saturday 00:00 EST",,Orlando Killings Rob Young New York Muslims of a Cherished Holiday Respite,1368 words,The New York Times,NYREGION,,RELIGION (95%); MUSLIMS & ISLAM (92%); STUDENTS & STUDENT LIFE (91%); HIGH SCHOOLS (91%); FAITH BASED SCHOOLS (90%); ISLAMIC STATE IN IRAQ & THE LEVANT (90%); RAMADAN (90%); 2016 ORLANDO NIGHTCLUB SHOOTING (90%); ARAB AMERICANS (78%); MUSLIM AMERICANS (78%); ACADEMIC TESTING (78%); SHOOTINGS (76%); TERRORISM (72%); TERRORIST ATTACKS (72%); US PRESIDENTIAL CANDIDATES 2016 (69%); ASSOCIATIONS & ORGANIZATIONS (60%)
THE EDITORIAL BOARD,"June 18, 2016 Saturday 00:00 EST",,"Mr. Ryan's Plan to Revert, Regress and Deregulate; Editorial",464 words,The New York Times,OPINION; sunday,,DEREGULATION (93%); ENVIRONMENTAL DEPARTMENTS (92%); EDITORIALS & OPINIONS (92%); CONSUMER WATCHDOGS (91%); AIR QUALITY REGULATION (90%); US REPUBLICAN PARTY (90%); POLITICAL PARTIES (90%); PERSONAL FINANCE (90%); OVERTIME (90%); ENVIRONMENT & NATURAL RESOURCES (90%); CONSUMER PROTECTION (90%); CONSUMER LENDING (90%); CONSERVATION (90%); WAGES & SALARIES (89%); ENERGY & UTILITY DEREGULATION (89%); EMPLOYMENT (89%); 2010 WALL STREET & BANKING REFORM (88%); LEGISLATIVE BODIES (78%); BANKING & FINANCE (78%); US PRESIDENTIAL CANDIDATES 2016 (78%); CONSUMERS (78%); OIL & GAS INDUSTRY (78%); CONSUMER LAW (77%); MORTGAGE BANKING & FINANCE (77%); US ENVIRONMENTAL LAW (77%); REGULATORY COMPLIANCE (77%); BANKING & FINANCE REGULATORY COMPLIANCE (77%); US DODD FRANK ACT (77%); MINING & ENVIRONMENT (76%); DISCRIMINATION (73%); WATER RESOURCES (72%); PUBLIC CONTRACTING (72%); CABLE INDUSTRY (72%); CHECK CASHING SERVICES (71%); CLIMATE CHANGE (71%); OIL EXTRACTION (64%); FRANCHISING (61%); INTERNET SOCIAL NETWORKING (60%); FRANCHISORS (50%); COAL MINING (50%)
MICHAEL TOMASKY,"June 18, 2016 Saturday 00:00 EST",,Has Political Fear-Mongering Lost Its Appeal?; Opinion,1443 words,The New York Times,OPINION; campaign-stops,,SEPTEMBER 11 ATTACK (90%); TERRORISM (90%); US REPUBLICAN PARTY (90%); POLITICAL PARTIES (90%); POLITICS (90%); EDITORIALS & OPINIONS (90%); CAMPAIGNS & ELECTIONS (89%); CONSERVATISM (89%); VOTERS & VOTING (89%); POLITICAL CANDIDATES (78%); US DEMOCRATIC PARTY (78%); COLD WAR (78%); ELECTIONS (77%); US PRESIDENTIAL CANDIDATES 2016 (77%); TERRORIST ATTACKS (77%); US PRESIDENTIAL ELECTIONS (77%); HEADS OF GOVERNMENT ELECTIONS (77%); NOVEMBER 2015 PARIS ATTACKS (72%); WEAPONS OF MASS DESTRUCTION (72%); POLLS & SURVEYS (70%); HUMANITIES & SOCIAL SCIENCE (70%); RELIGION (64%)
PHILIP GALANES,"June 18, 2016 Saturday 00:00 EST",,"Cecile Richards, Barbara Bush and the Sisterhood of Political Progeny; Table for Three",2407 words,The New York Times,FASHION,,COHABITATION (90%); MARRIAGE (90%); REPRODUCTIVE HEALTH CLINICS (90%); RESTAURANTS (90%); GOVERNORS (90%); WOMEN (89%); ASSOCIATIONS & ORGANIZATIONS (89%); SAME SEX MARRIAGE & UNIONS (79%); FEMINISM & WOMEN'S RIGHTS (78%); US STATE GOVERNMENT (77%); US DEMOCRATIC PARTY (77%); PREGNANCY & CHILDBIRTH (76%); MANAGED CARE ORGANIZATIONS (76%); EXECUTIVES (76%); US PRESIDENTS (76%); SEXUAL & REPRODUCTIVE HEALTH (76%); POLITICAL PARTIES (75%); CAMPAIGNS & ELECTIONS (75%); POLITICAL PARTY CONVENTIONS (75%); TWINS & MULTIPLE BIRTHS (71%); NONPROFIT ORGANIZATIONS (71%); SEX EDUCATION (70%); OBSTETRICS & GYNECOLOGY (70%); GAYS & LESBIANS (65%)
HARVEY ARATON,"June 18, 2016 Saturday 00:00 EST",,"With Swat of Stephen Curry, LeBron James Jolted a Debate; On Pro Basketball",1287 words,The New York Times,SPORTS; basketball,,BASKETBALL (92%); BASKETBALL TOURNAMENTS (90%); SPORTS & RECREATION EVENTS (89%); PROFESSIONAL SPORTS (89%); BACK DISORDERS & INJURIES (78%); STADIUMS & ARENAS (77%); SPORTS AWARDS (77%); SPORTS (77%); TOURNAMENTS (76%); POLITICAL DEBATES (75%); ATHLETES (72%); SPORTS & RECREATION (72%); OLYMPICS (68%); TELEVISION RATINGS & SHARES (68%); SUMMER OLYMPICS (63%)
KAREN CROUSE,"June 18, 2016 Saturday 00:00 EST",,"For Many Golfers, Fathers Serve as the Caddies of Life",1263 words,The New York Times,SPORTS; golf,,GOLF (91%); ATHLETES (90%); FAMILY (90%); CHILDREN (86%); PARENTING (75%)
RICHARD SANDOMIR and ANDREW JACOBS,"June 18, 2016 Saturday 00:00 EST",,Russia's Track Team Will Miss the Olympics. American Audiences? Not Likely.,1351 words,The New York Times,SPORTS; olympics,,SPORTS GOVERNING BODIES (91%); BROADCASTING INDUSTRY (91%); SPORTS & RECREATION EVENTS (90%); SUMMER OLYMPICS (90%); 2012 LONDON SUMMER OLYMPICS (90%); NETWORK TELEVISION (90%); SPORTS & RECREATION (90%); OLYMPICS (90%); TRACK & FIELD (90%); TELEVISION PROGRAMMING (90%); SPORTS (90%); TELEVISION RATINGS & SHARES (90%); RUNNING (89%); PRIMETIME TELEVISION (88%); COLD WAR (79%); STADIUMS & ARENAS (78%); 2016 RIO SUMMER OLYMPICS (78%); SPORTS REGULATION & POLICY (78%); BOYCOTTS (75%); TELEVISION INDUSTRY (74%); RANKINGS (69%)
BENJAMIN HOFFMAN,"June 18, 2016 Saturday 00:00 EST",,"Suddenly, It's the Warriors Who Seem Winded in the N.B.A. Finals; Keeping Score",828 words,The New York Times,SPORTS; basketball,,SPORTS & RECREATION EVENTS (90%); BASKETBALL (90%); SPORTS (90%); SPORTS INJURIES (90%); SPORTS & RECREATION (90%); TOURNAMENTS (90%); BASKETBALL TOURNAMENTS (75%); WOUNDS & INJURIES (73%); BACK DISORDERS & INJURIES (68%); KNEE DISORDERS & INJURIES (68%)
JESSE McKINLEY and JOE DRAPE,"June 18, 2016 Saturday 00:00 EST",,New York State Lawmakers Vote to Legalize Fantasy Sports,762 words,The New York Times,SPORTS,,LEGISLATION (92%); LEGISLATIVE BODIES (90%); SPORTS & RECREATION (90%); US STATE GOVERNMENT (90%); FANTASY SPORTS (90%); SPORTS (90%); SUITS & CLAIMS (89%); ATTORNEYS GENERAL (89%); TRADE PRACTICES & UNFAIR COMPETITION LAW (78%); CRIMINAL INVESTIGATIONS (78%); LITIGATION (78%); FALSE OR MISLEADING ADVERTISING (78%); ONLINE GAMES (77%); AGREEMENTS (77%); INVESTIGATIONS (75%); LAW ENFORCEMENT (75%); BUSINESS TORTS (72%); ILLEGAL GAMBLING (70%); TALKS & MEETINGS (70%); CLASS ACTIONS (68%); MARKETING & ADVERTISING (68%); MERGERS (62%); EDUCATION FUNDING (61%); LOTTERIES (61%)
KAREN CROUSE,"June 18, 2016 Saturday 00:00 EST",,A Common Goal at the Top of the Leaderboard: Winning a First Major,887 words,The New York Times,SPORTS; golf,,GOLF (92%); ATHLETES (90%); GOLF TOURNAMENTS (90%); SPORTS & RECREATION EVENTS (89%); SPORTS (89%); SPORTS & RECREATION (89%)
BEN ROTHENBERG,"June 18, 2016 Saturday 00:00 EST",,"For Injury-Plagued Roger Federer, Semifinal Loss on the Grass Is Progress",693 words,The New York Times,SPORTS; tennis,,TENNIS TOURNAMENTS (90%); TENNIS (90%); SPORTS (90%); SPORTS INJURIES (90%); SPORTS & RECREATION EVENTS (89%); TOURNAMENTS (89%); WOUNDS & INJURIES (78%); BACK DISORDERS & INJURIES (78%); KNEE DISORDERS & INJURIES (73%)
SCOTT CACCIOLA,"June 18, 2016 Saturday 00:00 EST",,"As Warriors Prepare for Game 7 Pressure, LeBron James Says He Doesn't Feel Any",799 words,The New York Times,SPORTS; basketball,,SPORTS & RECREATION EVENTS (90%); BASKETBALL (90%); STADIUMS & ARENAS (78%); SPORTS & RECREATION (78%); SPORTS (78%); TOURNAMENTS (77%); BASKETBALL TOURNAMENTS (77%); ATHLETES (69%)
DAVID WALDSTEIN,"June 18, 2016 Saturday 00:00 EST",,"Lionel Messi Dazzles as Argentina Advances to Face United States; Argentina 4, Venezuela 1 | Copa América quarterfinal",865 words,The New York Times,SPORTS; soccer,,SOCCER (95%); SPORTS & RECREATION EVENTS (91%); SOCCER TOURNAMENTS (91%); STADIUMS & ARENAS (90%); TOURNAMENTS (90%); FIFA WORLD CUP (78%); SPORTS AWARDS (78%); SPORTS & RECREATION (78%); RANKINGS (66%); BACK DISORDERS & INJURIES (65%); WOUNDS & INJURIES (50%)
NICK CORASANITI,"June 18, 2016 Saturday 00:00 EST",,A Touchy-Feely Approach From Hillary Clinton; Ad of the Week,693 words,The New York Times,US; politics,,US PRESIDENTIAL CANDIDATES 2016 (91%); US PRESIDENTIAL CANDIDATES 2008 (91%); CHILDREN (90%); PRIMARY ELECTIONS (90%); ELECTIONS (90%); POLITICAL PARTIES (90%); CAMPAIGNS & ELECTIONS (90%); POLITICAL CANDIDATES (90%); MARKETING & ADVERTISING (90%); POLITICAL ADVERTISING (90%); FAMILY (90%); US REPUBLICAN PARTY (89%); US DEMOCRATIC PARTY (89%); 2016 ORLANDO NIGHTCLUB SHOOTING (89%); TERRORISM (78%); US PRESIDENTIAL ELECTIONS (78%); HEADS OF GOVERNMENT ELECTIONS (77%); WOMEN (74%); CHILD TRAFFICKING (71%); CHILDREN'S HEALTH (71%); HEALTH INSURANCE (68%); US PRESIDENTS (67%); DISABLED PERSONS (52%); HUMAN TRAFFICKING (50%)
,"June 18, 2016 Saturday 00:00 EST",,"Pleading Poverty, Rio Governor Seeks Aid for Olympics; Sports Briefing",826 words,The New York Times,SPORTS,,MANAGERS & SUPERVISORS (90%); OLYMPICS (90%); SPORTS & RECREATION EVENTS (89%); SPORTS & RECREATION (89%); COACHES & TRAINERS (89%); WINTER SPORTS (89%); TOURNAMENTS (88%); GOLF (88%); ICE HOCKEY (88%); SPORTS (88%); SETTLEMENT & COMPROMISE (83%); 2016 RIO SUMMER OLYMPICS (79%); PROFESSIONAL SPORTS (78%); PUBLIC DEBT (78%); ECONOMIC CRISIS (78%); RANKINGS (77%); PETROLEUM PRODUCTS (76%); APPOINTMENTS (75%); PUBLIC FINANCE (73%); PRICES (73%); OIL & GAS PRICES (71%); DELAYS & POSTPONEMENTS (70%); WAGES & SALARIES (69%); BACK DISORDERS & INJURIES (67%); LITIGATION (62%); AMERICAN FOOTBALL (62%); SUITS & CLAIMS (60%); ENVIRONMENT & NATURAL RESOURCES (57%)
SAM BORDEN,"June 18, 2016 Saturday 00:00 EST",,Portugal's Cristiano Ronaldo Can't Mask Frustration in Tie With Austria; On Soccer,978 words,The New York Times,SPORTS; soccer,,SOCCER (91%); SPORTS & RECREATION EVENTS (90%); ATHLETES (89%); SPORTS & RECREATION (75%); SPORTS (75%); SOCCER TOURNAMENTS (75%)
LISA PREVOST,"June 17, 2016 Friday 00:00 EST",,Bidding Wars in the Suburbs,2290 words,The New York Times,REALESTATE,,PRICES (91%); SUBURBS (90%); REAL ESTATE (90%); REAL ESTATE AGENTS (78%); CHILDREN (77%); HOME PRICES (77%); INFANTS & TODDLERS (72%); CITIES (66%); COMMUTING (66%); VIRAL VIDEOS (56%)
VIVIAN MARINO,"June 17, 2016 Friday 00:00 EST",,A Park Avenue Condo for $28.9 Million; Big Ticket,432 words,The New York Times,REALESTATE,,CONDOMINIUMS (90%); REAL ESTATE (90%); HOLDING COMPANIES (89%); ARCHITECTURE (89%); DEEDS & RECORDINGS (78%); MULTIFAMILY REAL ESTATE (78%); RESIDENTIAL CONDOMINIUMS (78%); RESIDENTIAL CO-OWNERSHIP (78%); SALES & SELLING (77%); ARCHITECTURAL SERVICES (76%); WEALTHY PEOPLE (73%); LIMITED LIABILITY COMPANIES (68%); BIOTECHNOLOGY INDUSTRY (52%)
MALIA WOLLAN,"June 17, 2016 Friday 00:00 EST",,How to Nap; Tip,390 words,The New York Times,MAGAZINE,,RESEARCH INSTITUTES (90%); SLEEP (90%); SLEEP DISORDERS (78%); CAFFEINE & HEALTH (78%); NIGHT & SHIFT WORK (78%); PHYSICIANS & SURGEONS (78%); OBESITY (72%); INTELLIGENCE & COGNITION (72%); CARDIOVASCULAR DISEASE (72%); DIABETES (68%); HYPERTENSION (53%)
CHIP BROWN,"June 17, 2016 Friday 00:00 EST",,One Man's Quest to Get Americans to Care About Rugby; Feature,4341 words,The New York Times,MAGAZINE,,RUGBY (95%); SPORTS & RECREATION EVENTS (90%); PROFESSIONAL SPORTS (90%); OLYMPICS (90%); STADIUMS & ARENAS (89%); AMATEUR SPORTS (78%); 2016 RIO SUMMER OLYMPICS (78%); SPORTS BUSINESS (78%); SPORTS & RECREATION (77%); SPORTS (77%); TRADEMARK LAW (72%); SALES PROJECTIONS (71%); WEALTHY PEOPLE (60%); AMERICAN FOOTBALL (58%)
N. R. KLEINFIELD,"June 17, 2016 Friday 00:00 EST",,"4,223 Central Park Benches With Stories to Tell",2439 words,The New York Times,NYREGION,,PARKS & PLAYGROUNDS (90%); CHILDREN (87%); CHILDREN'S LITERATURE (78%); WEDDINGS & ENGAGEMENTS (73%); ORPHANS (72%); MANAGERS & SUPERVISORS (64%); WOMEN (63%)
SHIVANI VORA,"June 17, 2016 Friday 00:00 EST",,Review: Aumm Aumm in North Bergen Is a Naples Nearby; Dining | New Jersey,971 words,The New York Times,NYREGION,,CHEESE (90%); DAIRY PRODUCTS (90%); FRUITS & VEGETABLES (90%); RESTAURANTS (90%); DRINKING PLACES (89%); INTERVIEWS (77%); FOOD EXPORTS & IMPORTS (75%)
JOANNE STARKEY,"June 17, 2016 Friday 00:00 EST",,Review: Salt & Barrel Oyster and Craft Cocktail Bar in Bay Shore; Dining | Long Island,887 words,The New York Times,NYREGION,,DRINKING PLACES (91%); RESTAURANTS (90%); SEAFOOD (90%); MEAT FREE DIETS (78%); PORK (75%)
GLENN KENNY,"June 17, 2016 Friday 00:00 EST",,Review: 'Clown' - At Least Bozo Never Ate the Kids,383 words,The New York Times,MOVIES,,FILM DIRECTORS (91%); MOVIE INDUSTRY (90%); FILM (90%); HORROR FILMS (90%); CHILDREN (88%); MURDER (88%); AFRICAN AMERICANS (72%); VISUAL ARTISTS (71%); SPECIAL EFFECTS (66%); DRAMA LITERATURE (65%); VIRAL VIDEOS (65%); PARKING SPACES & FACILITIES (62%)
ELAINE GLUSAC,"June 17, 2016 Friday 00:00 EST",,Finding the Best Deals on Cruises,502 words,The New York Times,TRAVEL,,CRUISES (93%); MARINE PASSENGER TRANSPORT (92%); TRAVEL  HOSPITALITY & TOURISM (78%); LUXURY GOODS (78%); MARINE MAMMALS (76%); HOTELS & MOTELS (72%)
CHRISTOPHER BROOKS,"June 17, 2016 Friday 00:00 EST",,Gift for the Man Who Has Everything: A Pint of Craft Beer; Dining | Connecticut,1124 words,The New York Times,NYREGION,,BEER & ALE (94%); BREWERIES (91%); ALCOHOLIC BEVERAGES (89%); DRINKING PLACES (78%); SMALL BUSINESS (73%); MANUFACTURING FACILITIES (72%); INDUSTRIAL PROPERTY (67%); DESTINATIONS & ATTRACTIONS (61%)
AMY ZIPKIN,"June 17, 2016 Friday 00:00 EST",,Renting Rooms to Travelers Can Be a Source of Income Later in Life; Retiring,1253 words,The New York Times,YOUR-MONEY,,PROPERTY LEASES (90%); REAL ESTATE (90%); BED & BREAKFAST INNS (89%); RESIDENTIAL RENTAL PROPERTY (89%); RENTAL PROPERTY (78%); DEATHS (78%); PERSONAL FINANCE (77%); COMPANY PROFITS (77%); RENTAL & LEASING INDUSTRY (76%); SENIOR CITIZENS (70%); BABY BOOMERS (65%)
EMILY DeNITTO,"June 17, 2016 Friday 00:00 EST",,Review: Destination Bistro in Yorktown Heights Pays Attention; Dining | Westchester,848 words,The New York Times,NYREGION,,RESTAURANTS (92%); CATERING SERVICES (90%); COOKING & ENTERTAINING (90%); RESTAURANT REVIEWS (89%); TELEVISION PROGRAMMING (79%); DRINKING PLACES (78%)
PHILLIP LUTZ,"June 17, 2016 Friday 00:00 EST",,Searching for Rhythm in a Director's Complex Universe; Theater | Connecticut,1060 words,The New York Times,NYREGION,,THEATER & DRAMA (90%); STUDENTS & STUDENT LIFE (90%); THEATER (90%); ARTS & HUMANITIES EDUCATION (75%); ARMIES (64%)
PHILLIP LUTZ,"June 17, 2016 Friday 00:00 EST",,"Leading the Orchestra, an Outsider Invited In; Arts | Westchester",1164 words,The New York Times,NYREGION,,CLASSICAL MUSIC (93%); MUSIC (92%); MUSIC GROUPS & ARTISTS (90%); AFRICAN AMERICANS (89%); MUSIC INDUSTRY (89%); OPERA (89%); WORKPLACE DIVERSITY (87%); CULTURE DEPARTMENTS (78%); ARTISTS & PERFORMERS (77%); ASSOCIATIONS & ORGANIZATIONS (77%); MINORITY GROUPS (74%); KEYBOARD INSTRUMENTS (73%); RECRUITMENT & HIRING (60%); CIVIC & SOCIAL ORGANIZATIONS (60%)
ANDREW COTTO,"June 17, 2016 Friday 00:00 EST",,Sisterhood on Wheels: Bushwick's Rugged Roller Derby Girls; Fit City,800 words,The New York Times,NYREGION,,ROLLERBLADING & ROLLERSKATING (91%); MEDITATION (90%); WOMEN (90%); VISUAL ARTISTS (78%); STUDENTS & STUDENT LIFE (77%); HIGH SCHOOLS (77%); SPORTS & RECREATION EVENTS (76%); ASSOCIATIONS & ORGANIZATIONS (75%); FEMINISM & WOMEN'S RIGHTS (70%); EXERCISE & FITNESS (60%); COUNTRY MUSIC (52%)
